# File: A221.bio_tech_prod.csv
# Title: Biomass Agricultural Production by Tech
# Units: EJ
# Description: Agricultural production by technology for biomass crops globally as a model output from V5.3 reference case
# Source: GCAM output
# Column types: ccccccnc
# ----------
scenario,region,sector,subsector,output,technology,2020,Units
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_NileR,biomass,biomassGrass_NileR_IRR_hi,0.00117029,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_NileR,biomass,biomassGrass_NileR_IRR_lo,8.15E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_NileR,biomass,biomassGrass_NileR_RFD_hi,0.0497784,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_NileR,biomass,biomassGrass_NileR_RFD_lo,0.0339232,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_RiftValley,biomass,biomassGrass_RiftValley_IRR_hi,4.69E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_RiftValley,biomass,biomassGrass_RiftValley_IRR_lo,3.28E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_RiftValley,biomass,biomassGrass_RiftValley_RFD_hi,0.00303057,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_RiftValley,biomass,biomassGrass_RiftValley_RFD_lo,0.00211976,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_ShebJubR,biomass,biomassGrass_ShebJubR_IRR_hi,4.71E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_ShebJubR,biomass,biomassGrass_ShebJubR_IRR_lo,3.17E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_ShebJubR,biomass,biomassGrass_ShebJubR_RFD_hi,0.00308709,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassGrass_ShebJubR,biomass,biomassGrass_ShebJubR_RFD_lo,0.00214668,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_AfrCstE,biomass,biomassTree_AfrCstE_IRR_hi,1.37E-07,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_AfrCstE,biomass,biomassTree_AfrCstE_IRR_lo,8.94E-08,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_AfrCstE,biomass,biomassTree_AfrCstE_RFD_hi,9.00E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_AfrCstE,biomass,biomassTree_AfrCstE_RFD_lo,5.95E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_AfrCstNE,biomass,biomassTree_AfrCstNE_IRR_hi,1.40E-08,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_AfrCstNE,biomass,biomassTree_AfrCstNE_IRR_lo,9.19E-09,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_AfrCstNE,biomass,biomassTree_AfrCstNE_RFD_hi,3.44E-07,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_AfrCstNE,biomass,biomassTree_AfrCstNE_RFD_lo,2.16E-07,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_CongoR,biomass,biomassTree_CongoR_IRR_hi,4.78E-09,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_CongoR,biomass,biomassTree_CongoR_IRR_lo,3.18E-09,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_CongoR,biomass,biomassTree_CongoR_RFD_hi,7.78E-07,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_CongoR,biomass,biomassTree_CongoR_RFD_lo,5.00E-07,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_Madagascar,biomass,biomassTree_Madagascar_IRR_hi,3.26E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_Madagascar,biomass,biomassTree_Madagascar_IRR_lo,2.13E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_Madagascar,biomass,biomassTree_Madagascar_RFD_hi,2.90E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_Madagascar,biomass,biomassTree_Madagascar_RFD_lo,1.94E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_NileR,biomass,biomassTree_NileR_IRR_hi,3.45E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_NileR,biomass,biomassTree_NileR_IRR_lo,2.32E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_NileR,biomass,biomassTree_NileR_RFD_hi,1.47E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_NileR,biomass,biomassTree_NileR_RFD_lo,9.64E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_RiftValley,biomass,biomassTree_RiftValley_IRR_hi,2.18E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_RiftValley,biomass,biomassTree_RiftValley_IRR_lo,1.47E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_RiftValley,biomass,biomassTree_RiftValley_RFD_hi,1.41E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_RiftValley,biomass,biomassTree_RiftValley_RFD_lo,9.50E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_ShebJubR,biomass,biomassTree_ShebJubR_IRR_hi,8.39E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_ShebJubR,biomass,biomassTree_ShebJubR_IRR_lo,5.43E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_ShebJubR,biomass,biomassTree_ShebJubR_RFD_hi,5.50E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Eastern,biomass,biomassTree_ShebJubR,biomass,biomassTree_ShebJubR_RFD_lo,3.69E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_AfrCstNW,biomass,biomassGrass_AfrCstNW_IRR_hi,6.74E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_AfrCstNW,biomass,biomassGrass_AfrCstNW_IRR_lo,4.11E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_AfrCstNW,biomass,biomassGrass_AfrCstNW_RFD_hi,5.24E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_AfrCstNW,biomass,biomassGrass_AfrCstNW_RFD_lo,3.14E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_AfrIntN,biomass,biomassGrass_AfrIntN_IRR_hi,5.17E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_AfrIntN,biomass,biomassGrass_AfrIntN_IRR_lo,3.07E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_AfrIntN,biomass,biomassGrass_AfrIntN_RFD_hi,2.11E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_AfrIntN,biomass,biomassGrass_AfrIntN_RFD_lo,1.28E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_MeditE,biomass,biomassGrass_MeditE_IRR_hi,1.43E-05,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_MeditE,biomass,biomassGrass_MeditE_IRR_lo,8.69E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_MeditE,biomass,biomassGrass_MeditE_RFD_hi,4.42E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_MeditE,biomass,biomassGrass_MeditE_RFD_lo,2.72E-06,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_MeditS,biomass,biomassGrass_MeditS_IRR_hi,2.75E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_MeditS,biomass,biomassGrass_MeditS_IRR_lo,1.62E-04,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_MeditS,biomass,biomassGrass_MeditS_RFD_hi,0.00252977,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_MeditS,biomass,biomassGrass_MeditS_RFD_lo,0.00152127,EJ
"1GCAM5p3_GCAM_REF_NoTax_LowEV_E10_DefAra_DefRef_DefTrade_DefCCScost,date=2021-10-2T11:59:18-08:00",Africa_Northern,biomass,biomassGrass_NileR,biomass,biomassGrass_NileR_IRR_hi,9.50E-05,EJ
