# File: A62.subsector_logit.csv
# Title: DAC default technology logit exponents
# Units: Unitless
# Column types: ccnc
# ----------
supplysector,subsector,logit.exponent,logit.type
airCO2,airCO2,-6,
process heat dac,gas CCS,-6,
CO2 removal,dac,-3,
CO2 removal,no CDR,-6,
desalinated water,direct ocean capture,-6,
refining,dac to liquids,-6,
