# File: A62.globaltech_cost_ssp1.csv
# Title: dac default costs. dac to liquids reflect carbon capture costs only, with H2 production costs included in H2 input coefs or added downstream for wind and solar
# Units: 1975$/kgC for dac, 1975$/GJ for process heat dac and dac to liquids
# Column types: ccccnnnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2020,2050,2100
CO2 removal,dac,hightemp DAC NG,non-energy,0.297615642,0.297615642,0.178569385,0.178569385
CO2 removal,dac,hightemp DAC elec,non-energy,0.381047227,0.381047227,0.184176464,0.184176464
CO2 removal,dac,lowtemp DAC heatpump,non-energy,0.423419501,0.423419501,0.203535766,0.203535766
CO2 removal,no CDR,no CDR,non-energy,0.001,0.001,0.001,0.001
process heat dac,gas CCS,gas CCS,non-energy,0,0,0,0
CO2 removal,dac,direct ocean capture (stand-alone),non-energy,1.635004398,1.635004398,1.635004398,1.635004398
desalinated water,direct ocean capture,direct ocean capture (co-located with desal),desal only,0.38,0.38,0.38,0.38
desalinated water,direct ocean capture,direct ocean capture (co-located with desal),carbon capture,0.023666136,0.023666136,0.023666136,0.023666136
refining,dac to liquids,industrial hydrogen,non-energy,7.468525649,7.468525649,3.609858694,3.609858694
refining,dac to liquids,on-site electrolysis (wind),non-energy,7.468525649,7.468525649,3.609858694,3.609858694
refining,dac to liquids,on-site electrolysis (solar),non-energy,7.468525649,7.468525649,3.609858694,3.609858694
refining,dac to liquids,on-site electrolysis (grid electricity),non-energy,7.468525649,7.468525649,3.609858694,3.609858694
