# File: A62.subsector_shrwt.csv
# Title: carbon removal default subsector shareweights
# Units: Unitless
# Column types: cccci
# ----------
supplysector,subsector,year.fillout,year,share.weight
CO2 removal,no CDR,start-year,,1
CO2 removal,dac,start-year,,0
CO2 removal,dac,2020,,0
CO2 removal,dac,2050,,1
process heat dac,gas CCS,start-year,,1
airCO2,airCO2,start-year,,1
desalinated water,direct ocean capture,start-year,,0
desalinated water,direct ocean capture,2020,,0
desalinated water,direct ocean capture,2050,,1
refining,dac to liquids,2020,,0
refining,dac to liquids,2050,,1
