# File: A324.globaltech_interp_cwf.csv
# Title: Industry technology share-weight interpolation
# Units: Unitless
# Column types: ccccccc
# ----------
supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function
agricultural energy use,stationary,refined liquids,share-weight,final-calibration-year,2025,fixed
agricultural energy use,stationary,gas,share-weight,final-calibration-year,2025,fixed
agricultural energy use,stationary,biomass,share-weight,final-calibration-year,end-year,fixed
agricultural energy use,stationary,electricity ,share-weight,final-calibration-year,end-year,fixed
agricultural energy use,stationary,hydrogen,share-weight,final-calibration-year,end-year,fixed
agricultural energy use,stationary,coal,share-weight,final-calibration-year,2025,fixed
agricultural energy use,stationary,heat,share-weight,final-calibration-year,end-year,fixed
mining energy use,stationary,refined liquids,share-weight,final-calibration-year,2025,fixed
mining energy use,stationary,gas,share-weight,final-calibration-year,2025,fixed
mining energy use,stationary,biomass,share-weight,final-calibration-year,end-year,fixed
mining energy use,stationary,electricity ,share-weight,final-calibration-year,end-year,fixed
mining energy use,stationary,hydrogen,share-weight,final-calibration-year,end-year,fixed
mining energy use,stationary,coal,share-weight,final-calibration-year,2025,fixed
mining energy use,stationary,heat,share-weight,final-calibration-year,end-year,fixed
construction energy use,stationary,refined liquids,share-weight,final-calibration-year,2025,fixed
construction energy use,stationary,gas,share-weight,final-calibration-year,2025,fixed
construction energy use,stationary,biomass,share-weight,final-calibration-year,end-year,fixed
construction energy use,stationary,electricity ,share-weight,final-calibration-year,end-year,fixed
construction energy use,stationary,hydrogen,share-weight,final-calibration-year,end-year,fixed
construction energy use,stationary,coal,share-weight,final-calibration-year,2025,fixed
construction energy use,stationary,heat,share-weight,final-calibration-year,end-year,fixed
agricultural energy use,stationary,refined liquids,share-weight,2025,2050,linear
agricultural energy use,stationary,gas,share-weight,2025,2050,linear
agricultural energy use,stationary,coal,share-weight,2025,2050,linear
mining energy use,stationary,refined liquids,share-weight,2025,2050,linear
mining energy use,stationary,gas,share-weight,2025,2050,linear
mining energy use,stationary,coal,share-weight,2025,2050,linear
construction energy use,stationary,refined liquids,share-weight,2025,2050,linear
construction energy use,stationary,gas,share-weight,2025,2050,linear
construction energy use,stationary,coal,share-weight,2025,2050,linear
agricultural energy use,stationary,refined liquids,share-weight,2050,end-year,linear
agricultural energy use,stationary,gas,share-weight,2025,end-year,linear
agricultural energy use,stationary,coal,share-weight,2025,end-year,linear
mining energy use,stationary,refined liquids,share-weight,2025,end-year,linear
mining energy use,stationary,gas,share-weight,2025,end-year,linear
mining energy use,stationary,coal,share-weight,2025,end-year,linear
construction energy use,stationary,refined liquids,share-weight,2025,end-year,linear
construction energy use,stationary,gas,share-weight,2025,end-year,linear
construction energy use,stationary,coal,share-weight,2025,end-year,linear
