# File: A221.globaltech_cost.csv
# Title: Primary energy transformation technologies default cost assumptions
# Units: 1975$/kg
# Source: Roberts et al 2010 https://pubs.acs.org/doi/full/10.1021/es902266r
# Column types: ccccnnnnnc 
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2010,2100,improvement.max,improvement.rate,improvement.shadow.technology
biochar,biochar,slow pyrolysis biochar,non-energy,0.054013365,0.054013365,0.054013365,,,
