# File: A63.rsrc_curves.csv
# Title: Carbon storage resource supply curve points
# Comments: From Beerling et al (2021) source data.  https://doi.org/10.1038/s41586-020-2448-9 Median 2 C scenario. Regions not included in the Beerling study were scaled from those that were using total removal potential data from Streffler et al 2018
# Units: available: MtC cost: $1975/kg
# Column types: ccccnn
# ----------
resource,subresource,grade,region,available,cost
inorganic-surface-storage,inorganic-surface-storage,Grade 6,China,179.6272778,0.10571479
inorganic-surface-storage,inorganic-surface-storage,Grade 7,China,202.056072,0.108650432
inorganic-surface-storage,inorganic-surface-storage,Grade 8,China,221.5614897,0.110609862
inorganic-surface-storage,inorganic-surface-storage,Grade 9,China,238.3047355,0.111879393
inorganic-surface-storage,inorganic-surface-storage,Grade 10,China,253.1398484,0.113039225
inorganic-surface-storage,inorganic-surface-storage,Grade 1,EU-12,0,0.153779958
inorganic-surface-storage,inorganic-surface-storage,Grade 2,EU-12,4.212167455,0.154544705
inorganic-surface-storage,inorganic-surface-storage,Grade 3,EU-12,5.924776364,0.154597653
inorganic-surface-storage,inorganic-surface-storage,Grade 4,EU-12,7.357449818,0.159295309
inorganic-surface-storage,inorganic-surface-storage,Grade 5,EU-12,8.450063727,0.169049086
inorganic-surface-storage,inorganic-surface-storage,Grade 6,EU-12,9.271267091,0.182522317
inorganic-surface-storage,inorganic-surface-storage,Grade 7,EU-12,9.922074545,0.198193446
inorganic-surface-storage,inorganic-surface-storage,Grade 8,EU-12,10.36866491,0.216043593
inorganic-surface-storage,inorganic-surface-storage,Grade 9,EU-12,10.57057964,0.236412046
inorganic-surface-storage,inorganic-surface-storage,Grade 10,EU-12,10.60271291,0.258705593
inorganic-surface-storage,inorganic-surface-storage,Grade 1,EU-15,0,0.149616774
inorganic-surface-storage,inorganic-surface-storage,Grade 2,EU-15,23.58966545,0.152322712
inorganic-surface-storage,inorganic-surface-storage,Grade 3,EU-15,33.44182173,0.154224679
inorganic-surface-storage,inorganic-surface-storage,Grade 4,EU-15,42.48301091,0.155640516
inorganic-surface-storage,inorganic-surface-storage,Grade 5,EU-15,50.36895491,0.157238563
