# File: A23.subsector_shrwt_nuc_R_cwf.csv
# Title: Region-specific nuclear electric subsector shareweights by region for CWF case
# Units: Unitless share-weights
# Source: CWF assumptions
# Column types: cccnn
# ----------
region,supplysector,subsector,2020,2100
Africa_Eastern,electricity,nuclear,0.25,0
Africa_Northern,electricity,nuclear,0.25,0
Africa_Southern,electricity,nuclear,0.25,0
Africa_Western,electricity,nuclear,0.25,0
Argentina,electricity,nuclear,0.25,0
Australia_NZ,electricity,nuclear,0.25,0
Brazil,electricity,nuclear,0.25,0
Canada,electricity,nuclear,0.25,0
Central America and Caribbean,electricity,nuclear,0.25,0
Central Asia,electricity,nuclear,0.25,0
China,electricity,nuclear,0.25,0
Colombia,electricity,nuclear,0.25,0
EU-12,electricity,nuclear,0.25,0
EU-15,electricity,nuclear,0.25,0
Europe_Eastern,electricity,nuclear,0.25,0
Europe_Non_EU,electricity,nuclear,0.25,0
European Free Trade Association,electricity,nuclear,0.25,0
India,electricity,nuclear,0.25,0
Indonesia,electricity,nuclear,0.25,0
Japan,electricity,nuclear,0.25,0
Mexico,electricity,nuclear,0.25,0
Middle East,electricity,nuclear,0.25,0
Pakistan,electricity,nuclear,0.25,0
Russia,electricity,nuclear,0.25,0
South Africa,electricity,nuclear,0.25,0
South America_Northern,electricity,nuclear,0.25,0
South America_Southern,electricity,nuclear,0.25,0
South Asia,electricity,nuclear,0.25,0
South Korea,electricity,nuclear,0.25,0
Southeast Asia,electricity,nuclear,0.25,0
Taiwan,electricity,nuclear,0.25,0
USA,electricity,nuclear,0.25,0
