# File: A325.incelas_cwf.csv
# Title: CWF chemical income elasticities
# Units: Unitless
# Column types: ccnnnnnnnnnnnnnnnnn
# ----------
region,energy-final-demand,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Mexico,chemical,0.009,-0.026,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Middle East,chemical,0.01,-0.01,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Pakistan,chemical,0.042,0.025,0.016,0.013,0.014,0.043,0.073,-0.02,-0.092,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Russia,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
South Africa,chemical,0.049,0.013,-0.03,-0.064,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
South America_Northern,chemical,0.145,0.111,0.124,0.139,0.081,0.017,-0.036,-0.082,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
South America_Southern,chemical,0.033,-0.01,-0.042,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
South Asia,chemical,0.049,0.042,0.042,0.06,0.109,0.028,-0.054,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
South Korea,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Southeast Asia,chemical,0.198,0.11,0.029,-0.039,-0.07,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Taiwan,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
USA,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
