# File: A325.incelas_cwf.csv
# Title: CWF chemical income elasticities
# Units: Unitless
# Column types: ccnnnnnnnnnnnnnnnnn
# ----------
region,energy-final-demand,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa_Eastern,chemical,0.033,0.017,0.007,0.003,0.006,0.035,0.065,-0.047,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Africa_Northern,chemical,0.164,0.171,0.071,-0.003,-0.068,-0.093,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Africa_Southern,chemical,0.049,0.035,0.028,0.026,0.043,0.091,0.001,-0.085,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Africa_Western,chemical,0.053,0.04,0.04,0.057,0.111,0.013,-0.072,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Argentina,chemical,0.01,-0.027,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Australia_NZ,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Brazil,chemical,-0.001,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Canada,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Central America and Caribbean,chemical,0.164,0.096,0.027,-0.038,-0.07,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Central Asia,chemical,0.155,0.07,-0.003,-0.05,-0.086,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
China,chemical,0.018,-0.023,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Colombia,chemical,0.033,-0.01,-0.038,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
EU-12,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
EU-15,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Europe_Eastern,chemical,0.147,0.176,0.083,0.003,-0.061,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Europe_Non_EU,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
European Free Trade Association,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
India,chemical,0.079,0.096,0.15,0.056,-0.028,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Indonesia,chemical,0.187,0.082,-0.007,-0.056,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Japan,chemical,-0.01,-0.03,-0.05,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
